flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,3.939840793609619,3.9809858798980713,20.324188232421875,5
Zeelim_23.9.19_0610_1,shade,2.811622142791748,3.0295660495758057,14.117856979370117,5
Zeelim_23.9.19_0610_1,open,4.032864570617676,4.059432506561279,20.835908889770508,5
Zeelim_23.9.19_0610_2,all,3.5955569744110107,3.676858901977539,18.10922622680664,5
Zeelim_23.9.19_0610_2,shade,2.950005531311035,3.1896114349365234,15.024378776550293,5
Zeelim_23.9.19_0610_2,open,3.7449774742126465,3.7896382808685303,18.82324981689453,5
Zeelim_23.9.19_0610_3,all,4.139852523803711,4.18284273147583,22.120262145996094,5
Zeelim_23.9.19_0610_3,shade,3.7174339294433594,3.910896062850952,24.030494689941406,5
Zeelim_23.9.19_0610_3,open,4.153342247009277,4.191527366638184,22.059263229370117,5
Zeelim_23.9.19_0610_4,all,3.4923908710479736,3.571528196334839,18.00139617919922,5
Zeelim_23.9.19_0610_4,shade,3.4454684257507324,3.557189702987671,18.16294288635254,5
Zeelim_23.9.19_0610_4,open,3.522467613220215,3.580718994140625,17.897846221923828,5
Zeelim_23.9.19_0610_5,all,3.5074617862701416,3.5809125900268555,17.934717178344727,5
Zeelim_23.9.19_0610_5,shade,3.438178539276123,3.5357894897460938,18.517696380615234,5
Zeelim_23.9.19_0610_5,open,3.625244379043579,3.6576218605041504,16.94365119934082,5
Zeelim_23.9.19_0700_1,all,2.1014859676361084,2.6718027591705322,12.072213172912598,5
Zeelim_23.9.19_0700_1,shade,2.072968006134033,2.8792455196380615,15.049710273742676,5
Zeelim_23.9.19_0700_1,open,2.137247323989868,2.4116692543029785,8.338434219360352,5
Zeelim_23.9.19_0700_2,all,4.468112468719482,4.547611713409424,25.843313217163086,5
Zeelim_23.9.19_0700_2,shade,-0.09121117740869522,1.3789572715759277,3.258060932159424,5
Zeelim_23.9.19_0700_2,open,4.491573810577393,4.56391716003418,25.959535598754883,5
Zeelim_23.9.19_0700_3,all,2.759779930114746,3.164830446243286,15.134366035461426,5
Zeelim_23.9.19_0700_3,shade,2.1835708618164062,2.9889214038848877,15.737606048583984,5
Zeelim_23.9.19_0700_3,open,3.0451695919036865,3.2519562244415283,14.835590362548828,5
Zeelim_23.9.19_0700_4,all,4.31177282333374,4.389999866485596,24.413684844970703,5
Zeelim_23.9.19_0700_4,shade,0.5471071004867554,1.3190921545028687,3.1351091861724854,5
Zeelim_23.9.19_0700_4,open,4.399216651916504,4.461328983306885,24.90793228149414,5
Zeelim_23.9.19_0700_5,all,4.422878742218018,4.518782138824463,25.47093391418457,5
Zeelim_23.9.19_0700_5,shade,0.2111482173204422,1.5703200101852417,4.4331865310668945,5
Zeelim_23.9.19_0700_5,open,4.522435665130615,4.588478088378906,25.968223571777344,5
Zeelim_23.9.19_0800_1,all,0.5491364598274231,1.1352423429489136,1.9588992595672607,5
Zeelim_23.9.19_0800_1,shade,1.851556420326233,2.24635648727417,6.330074310302734,5
Zeelim_23.9.19_0800_1,open,0.5353835225105286,1.1235095262527466,1.9127416610717773,5
Zeelim_23.9.19_0800_2,all,0.5601946711540222,1.2968113422393799,2.7687058448791504,5
Zeelim_23.9.19_0800_2,shade,0.6587932109832764,1.5922460556030273,3.9570419788360596,5
Zeelim_23.9.19_0800_2,open,0.5554865002632141,1.28270423412323,2.711961507797241,5
Zeelim_23.9.19_0800_3,all,0.6952864527702332,1.2120634317398071,2.2624809741973877,5
Zeelim_23.9.19_0800_3,shade,-0.04845019802451134,1.5579222440719604,3.624488592147827,5
Zeelim_23.9.19_0800_3,open,0.7026676535606384,1.2086308002471924,2.2489635944366455,5
Zeelim_23.9.19_0800_4,all,-0.25544315576553345,1.0076911449432373,1.6591277122497559,5
Zeelim_23.9.19_0800_4,shade,0.45233482122421265,1.236649990081787,2.262228488922119,5
Zeelim_23.9.19_0800_4,open,-0.4136834144592285,0.9565020203590393,1.5242903232574463,5
Zeelim_23.9.19_0800_5,all,0.04676492139697075,1.0868185758590698,2.089482307434082,5
Zeelim_23.9.19_0800_5,shade,0.302012175321579,1.1253045797348022,2.0638248920440674,5
Zeelim_23.9.19_0800_5,open,-0.01832478493452072,1.0770045518875122,2.096024990081787,5
Zeelim_23.9.19_0950_1,all,-2.1415491104125977,2.409519910812378,8.678512573242188,5
Zeelim_23.9.19_0950_1,shade,-3.1749470233917236,3.9302120208740234,21.319368362426758,5
Zeelim_23.9.19_0950_1,open,-2.129436492919922,2.391695261001587,8.530344009399414,5
Zeelim_23.9.19_0950_2,all,-2.2938921451568604,2.724921941757202,11.366641998291016,5
Zeelim_23.9.19_0950_2,shade,-3.309248208999634,3.708798408508301,19.075572967529297,5
Zeelim_23.9.19_0950_2,open,-2.2691917419433594,2.7009878158569336,11.179109573364258,5
Zeelim_23.9.19_0950_3,all,-2.78969407081604,2.9345877170562744,11.952296257019043,5
Zeelim_23.9.19_0950_3,shade,-0.43073102831840515,2.6057324409484863,10.449996948242188,5
Zeelim_23.9.19_0950_3,open,-2.7898213863372803,2.934605598449707,11.952376365661621,5
Zeelim_23.9.19_0950_4,all,-2.758071184158325,2.969855546951294,12.114320755004883,5
Zeelim_23.9.19_0950_4,shade,-1.4959080219268799,3.242353916168213,16.120187759399414,5
Zeelim_23.9.19_0950_4,open,-2.7607388496398926,2.9692797660827637,12.105853080749512,5
Zeelim_23.9.19_0950_5,all,-2.8601653575897217,3.0979042053222656,13.882547378540039,5
Zeelim_23.9.19_0950_5,shade,-1.3926750421524048,3.1728127002716064,16.036020278930664,5
Zeelim_23.9.19_0950_5,open,-2.8603577613830566,3.0978941917419434,13.8822660446167,5
Zeelim_23.9.19_1410_1,all,-1.086692452430725,1.5148693323135376,3.822343587875366,5
Zeelim_23.9.19_1410_1,shade,1.0860737562179565,2.2860212326049805,7.623133182525635,5
Zeelim_23.9.19_1410_1,open,-1.0883864164352417,1.5142680406570435,3.819380044937134,5
