flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,-0.08647257834672928,0.4103708267211914,0.27362072467803955,47
Zeelim_23.9.19_0610_1,shade,-0.5835814476013184,0.738434374332428,0.7802116870880127,47
Zeelim_23.9.19_0610_1,open,-0.05247858166694641,0.3879367709159851,0.2389783263206482,47
Zeelim_23.9.19_0610_2,all,0.03297680243849754,0.48719799518585205,0.38670700788497925,47
Zeelim_23.9.19_0610_2,shade,-0.21357102692127228,0.633985698223114,0.6364648938179016,47
Zeelim_23.9.19_0610_2,open,0.08658349514007568,0.4552821218967438,0.33240240812301636,47
Zeelim_23.9.19_0610_3,all,-0.0704106017947197,0.5845922231674194,0.5270991921424866,47
Zeelim_23.9.19_0610_3,shade,-0.28858646750450134,0.6216102838516235,0.58548504114151,47
Zeelim_23.9.19_0610_3,open,-0.0637320727109909,0.5834591388702393,0.5253119468688965,47
Zeelim_23.9.19_0610_4,all,0.31720787286758423,0.651361346244812,0.6983017325401306,47
Zeelim_23.9.19_0610_4,shade,0.29210004210472107,0.6701680421829224,0.7159188985824585,47
Zeelim_23.9.19_0610_4,open,0.3334372639656067,0.6392050385475159,0.6869141459465027,47
Zeelim_23.9.19_0610_5,all,0.07172894477844238,0.5443055629730225,0.5075585246086121,47
Zeelim_23.9.19_0610_5,shade,0.1295953392982483,0.6128249764442444,0.6354833841323853,47
Zeelim_23.9.19_0610_5,open,-0.02909531630575657,0.4249199330806732,0.28466689586639404,47
Zeelim_23.9.19_0700_1,all,-0.17468872666358948,0.9126328825950623,1.3393861055374146,47
Zeelim_23.9.19_0700_1,shade,0.3995873034000397,0.8221962451934814,1.1992486715316772,47
Zeelim_23.9.19_0700_1,open,-0.9558999538421631,1.035657525062561,1.5300204753875732,47
Zeelim_23.9.19_0700_2,all,-0.015538288280367851,0.5462509393692017,0.49919530749320984,47
Zeelim_23.9.19_0700_2,shade,-0.34381407499313354,0.8692811727523804,1.1647628545761108,47
Zeelim_23.9.19_0700_2,open,-0.013802715577185154,0.5445430874824524,0.4956764876842499,47
Zeelim_23.9.19_0700_3,all,-0.03656788915395737,0.9103290438652039,1.4276068210601807,47
Zeelim_23.9.19_0700_3,shade,0.3385465741157532,0.8602489829063416,1.273010015487671,47
Zeelim_23.9.19_0700_3,open,-0.23120605945587158,0.9363143444061279,1.5078237056732178,47
Zeelim_23.9.19_0700_4,all,0.010286378674209118,0.4533466100692749,0.3406640291213989,47
