flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,2.6864099502563477,2.7568700313568115,10.723135948181152,15
Zeelim_23.9.19_0610_1,shade,0.9952172636985779,1.6498463153839111,5.203654766082764,15
Zeelim_23.9.19_0610_1,open,2.8202662467956543,2.844489812850952,11.15999698638916,15
Zeelim_23.9.19_0610_2,all,2.55159068107605,2.6211628913879395,9.909998893737793,15
Zeelim_23.9.19_0610_2,shade,1.978367805480957,2.195326089859009,8.5643949508667,15
Zeelim_23.9.19_0610_2,open,2.682384967803955,2.7183279991149902,10.217029571533203,15
Zeelim_23.9.19_0610_3,all,2.672236204147339,2.7291717529296875,10.367334365844727,15
Zeelim_23.9.19_0610_3,shade,1.8262282609939575,2.0078601837158203,7.643689155578613,15
Zeelim_23.9.19_0610_3,open,2.699000120162964,2.751990795135498,10.453498840332031,15
Zeelim_23.9.19_0610_4,all,2.4930496215820312,2.547395944595337,9.7438325881958,15
Zeelim_23.9.19_0610_4,shade,2.6450088024139404,2.7155349254608154,11.556890487670898,15
Zeelim_23.9.19_0610_4,open,2.3953728675842285,2.439319133758545,8.578428268432617,15
Zeelim_23.9.19_0610_5,all,2.3374369144439697,2.41534423828125,9.394287109375,15
Zeelim_23.9.19_0610_5,shade,2.3219425678253174,2.4225616455078125,9.716874122619629,15
Zeelim_23.9.19_0610_5,open,2.363924264907837,2.403005599975586,8.842819213867188,15
Zeelim_23.9.19_0700_1,all,0.5704469680786133,1.333836317062378,2.8990464210510254,15
Zeelim_23.9.19_0700_1,shade,0.19588525593280792,1.2164604663848877,2.6436524391174316,15
Zeelim_23.9.19_0700_1,open,1.049468994140625,1.483946681022644,3.2256667613983154,15
Zeelim_23.9.19_0700_2,all,1.5514330863952637,1.99208402633667,5.687157154083252,15
Zeelim_23.9.19_0700_2,shade,-0.3382350504398346,1.3513413667678833,2.7380526065826416,15
Zeelim_23.9.19_0700_2,open,1.5611735582351685,1.9953867197036743,5.702358722686768,15
Zeelim_23.9.19_0700_3,all,1.0612373352050781,1.7291922569274902,4.6489434242248535,15
Zeelim_23.9.19_0700_3,shade,0.13790932297706604,1.3561327457427979,3.2785065174102783,15
Zeelim_23.9.19_0700_3,open,1.523484706878662,1.9159576892852783,5.33502721786499,15
Zeelim_23.9.19_0700_4,all,1.6340357065200806,1.9995659589767456,5.538148880004883,15
Zeelim_23.9.19_0700_4,shade,0.26032692193984985,0.9481015801429749,1.4751200675964355,15
Zeelim_23.9.19_0700_4,open,1.6638001203536987,2.022348165512085,5.626182556152344,15
Zeelim_23.9.19_0700_5,all,1.6467431783676147,1.9974403381347656,5.560134410858154,15
Zeelim_23.9.19_0700_5,shade,0.019253281876444817,1.1584867238998413,2.097708225250244,15
Zeelim_23.9.19_0700_5,open,1.6843571662902832,2.0168299674987793,5.6401567459106445,15
Zeelim_23.9.19_0800_1,all,0.017471732571721077,1.0117006301879883,1.6757423877716064,15
Zeelim_23.9.19_0800_1,shade,2.680583953857422,2.9417574405670166,10.762520790100098,15
Zeelim_23.9.19_0800_1,open,-0.006733298301696777,0.9941583275794983,1.593152642250061,15
Zeelim_23.9.19_0800_2,all,0.0983244776725769,1.1398429870605469,2.2347257137298584,15
