flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,0.008306967094540596,0.40411338210105896,0.2648020386695862,33
Zeelim_23.9.19_0610_1,shade,-0.28893619775772095,0.5359725952148438,0.45007914304733276,33
Zeelim_23.9.19_0610_1,open,0.030041802674531937,0.394471675157547,0.25125429034233093,33
Zeelim_23.9.19_0610_2,all,0.11884885281324387,0.4644886553287506,0.34978175163269043,33
Zeelim_23.9.19_0610_2,shade,-0.024451805278658867,0.5353186130523682,0.4557651877403259,33
Zeelim_23.9.19_0610_2,open,0.15071497857570648,0.4487379491329193,0.32621386647224426,33
Zeelim_23.9.19_0610_3,all,0.031892623752355576,0.5711565017700195,0.49970486760139465,33
Zeelim_23.9.19_0610_3,shade,-0.07396966218948364,0.6258004307746887,0.6025748252868652,33
Zeelim_23.9.19_0610_3,open,0.035163357853889465,0.5694682002067566,0.4965266287326813,33
Zeelim_23.9.19_0610_4,all,0.30389365553855896,0.6103342771530151,0.6229395270347595,33
Zeelim_23.9.19_0610_4,shade,0.24873948097229004,0.610462486743927,0.612111508846283,33
Zeelim_23.9.19_0610_4,open,0.33948326110839844,0.6102516055107117,0.6299266219139099,33
Zeelim_23.9.19_0610_5,all,0.035218629986047745,0.49212297797203064,0.40310728549957275,33
Zeelim_23.9.19_0610_5,shade,0.004385225474834442,0.5373290777206421,0.4809051752090454,33
Zeelim_23.9.19_0610_5,open,0.08849159628152847,0.41401737928390503,0.2686904966831207,33
Zeelim_23.9.19_0700_1,all,-0.08688678592443466,0.8166052103042603,1.066594123840332,33
Zeelim_23.9.19_0700_1,shade,0.34726178646087646,0.8040259480476379,1.0699656009674072,33
Zeelim_23.9.19_0700_1,open,-0.6619507074356079,0.8332674503326416,1.0621286630630493,33
Zeelim_23.9.19_0700_2,all,0.3150389790534973,0.6477630734443665,0.6334601044654846,33
Zeelim_23.9.19_0700_2,shade,-0.13109137117862701,0.9158303737640381,1.3085078001022339,33
Zeelim_23.9.19_0700_2,open,0.3173513114452362,0.6463736891746521,0.6299611330032349,33
Zeelim_23.9.19_0700_3,all,0.13688822090625763,0.8650352358818054,1.3178433179855347,33
Zeelim_23.9.19_0700_3,shade,0.3957872688770294,0.8325954079627991,1.2009793519973755,33
Zeelim_23.9.19_0700_3,open,0.004661042708903551,0.8816032409667969,1.377529263496399,33
Zeelim_23.9.19_0700_4,all,0.2947842478752136,0.5450693964958191,0.4772334396839142,33
Zeelim_23.9.19_0700_4,shade,0.9946371912956238,1.1983100175857544,1.9138541221618652,33
Zeelim_23.9.19_0700_4,open,0.2813320457935333,0.5325132012367249,0.4496195614337921,33
Zeelim_23.9.19_0700_5,all,0.2381448745727539,0.5499324202537537,0.49251067638397217,33
Zeelim_23.9.19_0700_5,shade,0.4262615740299225,0.8456774353981018,1.1457692384719849,33
Zeelim_23.9.19_0700_5,open,0.23391398787498474,0.543280839920044,0.4778183698654175,33
Zeelim_23.9.19_0800_1,all,-0.13019253313541412,0.5758950710296631,0.5690035223960876,33
Zeelim_23.9.19_0800_1,shade,1.7089372873306274,2.294919013977051,6.90800142288208,33
Zeelim_23.9.19_0800_1,open,-0.14263778924942017,0.5642625689506531,0.5261080861091614,33
Zeelim_23.9.19_0800_2,all,-0.22611652314662933,0.9372996687889099,1.5814838409423828,33
Zeelim_23.9.19_0800_2,shade,-0.35087060928344727,1.7218883037567139,4.650437831878662,33
Zeelim_23.9.19_0800_2,open,-0.2201501727104187,0.8997769951820374,1.4347120523452759,33
Zeelim_23.9.19_0800_3,all,0.08056455850601196,0.6767467856407166,0.7872507572174072,33
Zeelim_23.9.19_0800_3,shade,-0.28108203411102295,1.6146048307418823,3.7445058822631836,33
Zeelim_23.9.19_0800_3,open,0.08425895869731903,0.6671660542488098,0.7570409178733826,33
Zeelim_23.9.19_0800_4,all,-1.0051124095916748,1.4018851518630981,2.7246851921081543,33
Zeelim_23.9.19_0800_4,shade,-0.1537138670682907,1.355979084968567,2.8970134258270264,33
Zeelim_23.9.19_0800_4,open,-1.1979142427444458,1.4122806787490845,2.6856608390808105,33
Zeelim_23.9.19_0800_5,all,-0.6811159253120422,1.2212679386138916,2.291287660598755,33
Zeelim_23.9.19_0800_5,shade,-0.12444989383220673,1.3888545036315918,3.025019407272339,33
Zeelim_23.9.19_0800_5,open,-0.8284724950790405,1.176905632019043,2.0970592498779297,33
Zeelim_23.9.19_0950_1,all,-0.4444262683391571,1.0717344284057617,1.9436365365982056,33
Zeelim_23.9.19_0950_1,shade,-1.378387689590454,2.463762044906616,8.661046981811523,33
Zeelim_23.9.19_0950_1,open,-0.43418803811073303,1.0564748048782349,1.8699992895126343,33
Zeelim_23.9.19_0950_2,all,0.011031237430870533,1.3348170518875122,3.0508487224578857,33
Zeelim_23.9.19_0950_2,shade,-1.1585512161254883,2.0955240726470947,6.767758369445801,33
Zeelim_23.9.19_0950_2,open,0.03916922211647034,1.3165159225463867,2.961426258087158,33
Zeelim_23.9.19_0950_3,all,0.14093665778636932,0.7074225544929504,0.82656329870224,33
Zeelim_23.9.19_0950_3,shade,1.3762277364730835,2.8598930835723877,10.286786079406738,33
Zeelim_23.9.19_0950_3,open,0.14087752997875214,0.707319438457489,0.8261106014251709,33
Zeelim_23.9.19_0950_4,all,0.006829560734331608,0.8053645491600037,1.1283862590789795,33
Zeelim_23.9.19_0950_4,shade,-0.05242171883583069,2.6681275367736816,10.143160820007324,33
Zeelim_23.9.19_0950_4,open,0.006959938444197178,0.8012662529945374,1.10855233669281,33
Zeelim_23.9.19_0950_5,all,0.10223439335823059,1.1193536520004272,1.915199637413025,33
Zeelim_23.9.19_0950_5,shade,-1.0388482809066772,2.32810115814209,8.078710556030273,33
Zeelim_23.9.19_0950_5,open,0.10238894075155258,1.1191898584365845,1.9143646955490112,33
Zeelim_23.9.19_1410_1,all,-0.5627444386482239,0.8969115018844604,1.3475685119628906,33
Zeelim_23.9.19_1410_1,shade,0.22647222876548767,2.0710439682006836,5.946478366851807,33
Zeelim_23.9.19_1410_1,open,-0.5633789896965027,0.895967423915863,1.3438706398010254,33
Zeelim_23.9.19_1410_2,all,-0.0899127647280693,0.9353078007698059,1.54994797706604,33
Zeelim_23.9.19_1410_2,shade,1.2803181409835815,2.4038708209991455,8.949800491333008,33
Zeelim_23.9.19_1410_2,open,-0.09657090157270432,0.9281718134880066,1.513991117477417,33
Zeelim_23.9.19_1410_3,all,0.504755437374115,1.0149847269058228,1.6138856410980225,33
Zeelim_23.9.19_1410_3,shade,0.5259494185447693,2.2733590602874756,7.715765953063965,33
Zeelim_23.9.19_1410_3,open,0.5047368407249451,1.0138766765594482,1.6085126399993896,33
Zeelim_23.9.19_1410_4,all,-0.6075220704078674,0.8807194828987122,1.2961783409118652,33
Zeelim_23.9.19_1410_4,shade,-0.06407695263624191,1.3458976745605469,2.7470126152038574,33
Zeelim_23.9.19_1410_4,open,-0.6077666878700256,0.8805100917816162,1.2955251932144165,33
Zeelim_23.9.19_1410_5,all,-1.2237664461135864,1.9216943979263306,5.371438026428223,33
Zeelim_23.9.19_1410_5,shade,2.034507989883423,2.774813175201416,12.168291091918945,33
Zeelim_23.9.19_1410_5,open,-1.481200933456421,1.8542900085449219,4.834421634674072,33
Zeelim_23.9.19_1510_1,all,-0.6981202960014343,1.1237279176712036,2.414220094680786,33
Zeelim_23.9.19_1510_1,shade,0.32329291105270386,1.641806721687317,4.2257771492004395,33
Zeelim_23.9.19_1510_1,open,-0.7149969935417175,1.1151678562164307,2.3842883110046387,33
Zeelim_23.9.19_1510_2,all,-0.5523173213005066,0.9477641582489014,1.588673710823059,33
Zeelim_23.9.19_1510_2,shade,-0.47129249572753906,1.4600704908370972,3.252845287322998,33
Zeelim_23.9.19_1510_2,open,-0.5525367856025696,0.946376383304596,1.5841658115386963,33
Zeelim_23.9.19_1510_3,all,-0.7620084881782532,1.579697847366333,3.6692254543304443,33
Zeelim_23.9.19_1510_3,shade,1.3184117078781128,2.018766164779663,6.070169448852539,33
Zeelim_23.9.19_1510_3,open,-1.0331157445907593,1.5224812030792236,3.356349468231201,33
Zeelim_23.9.19_1510_4,all,-0.349605530500412,1.0606961250305176,1.9054564237594604,33
Zeelim_23.9.19_1510_4,shade,0.4420827329158783,2.2794759273529053,7.3805413246154785,33
Zeelim_23.9.19_1510_4,open,-0.356410950422287,1.0502196550369263,1.8583924770355225,33
Zeelim_23.9.19_1510_5,all,-0.6606208682060242,0.9592466950416565,1.683416485786438,33
Zeelim_23.9.19_1510_5,shade,-1.0080845355987549,1.6885929107666016,4.11984920501709,33
Zeelim_23.9.19_1510_5,open,-0.6594974398612976,0.9568886160850525,1.6755390167236328,33
Zeelim_23.9.19_1610_1,all,-0.10255563259124756,0.9300814867019653,1.4207624197006226,33
Zeelim_23.9.19_1610_1,shade,0.3875787854194641,1.0950196981430054,1.8595081567764282,33
Zeelim_23.9.19_1610_1,open,-0.12055565416812897,0.9240242838859558,1.4046494960784912,33
Zeelim_23.9.19_1610_2,all,0.27305057644844055,1.2558132410049438,2.367021322250366,33
Zeelim_23.9.19_1610_2,shade,1.0447667837142944,1.5074717998504639,3.173900842666626,33
Zeelim_23.9.19_1610_2,open,0.19137214124202728,1.229177713394165,2.281621217727661,33
Zeelim_23.9.19_1610_3,all,0.14715100824832916,0.8172460198402405,1.1888251304626465,33
Zeelim_23.9.19_1610_3,shade,-0.3246643841266632,1.2092841863632202,2.1221938133239746,33
Zeelim_23.9.19_1610_3,open,0.15456031262874603,0.8110895156860352,1.1741678714752197,33
Zeelim_23.9.19_1610_4,all,-0.0725746899843216,0.6635217070579529,0.839851975440979,33
Zeelim_23.9.19_1610_4,shade,0.2964310348033905,0.9413185119628906,1.4147027730941772,33
Zeelim_23.9.19_1610_4,open,-0.08418722450733185,0.6547795534133911,0.8217616081237793,33
Zeelim_23.9.19_1610_5,all,0.5093680620193481,1.3813018798828125,2.389695405960083,33
Zeelim_23.9.19_1610_5,shade,0.20851173996925354,1.3751075267791748,2.8351423740386963,33
Zeelim_23.9.19_1610_5,open,0.512770414352417,1.3813718557357788,2.384658098220825,33
Zeelim_23.9.19_1700_1,all,0.05571068450808525,0.7542756795883179,0.8962838053703308,33
Zeelim_23.9.19_1700_1,shade,0.07348407804965973,0.8494153022766113,1.1477093696594238,33
Zeelim_23.9.19_1700_1,open,0.05221595615148544,0.735568642616272,0.8468465805053711,33
Zeelim_23.9.19_1700_2,all,-0.06371092796325684,0.7254295349121094,0.8459786176681519,33
Zeelim_23.9.19_1700_2,shade,-0.016365082934498787,0.7608790397644043,0.9358968734741211,33
Zeelim_23.9.19_1700_2,open,-0.06963703781366348,0.7209925055503845,0.8347238302230835,33
Zeelim_23.9.19_1700_3,all,-0.21125835180282593,0.5874510407447815,0.5540191531181335,33
Zeelim_23.9.19_1700_3,shade,-0.07882661372423172,0.6274572014808655,0.6313300728797913,33
Zeelim_23.9.19_1700_3,open,-0.2379494160413742,0.5793878436088562,0.5384374856948853,33
Zeelim_23.9.19_1700_4,all,0.1390930414199829,0.7981712818145752,1.0384128093719482,33
Zeelim_23.9.19_1700_4,shade,0.43140971660614014,0.8357253074645996,1.1506024599075317,33
Zeelim_23.9.19_1700_4,open,-0.11044283211231232,0.7661134004592896,0.9426422119140625,33
Zeelim_23.9.19_1700_5,all,-0.18842169642448425,0.6465089917182922,0.7151598334312439,33
Zeelim_23.9.19_1700_5,shade,-0.2842920422554016,0.6997528672218323,0.8701850175857544,33
Zeelim_23.9.19_1700_5,open,-0.1727774292230606,0.6378206014633179,0.6898626089096069,33
Zeelim_12.04.21_1118_1,all,-0.21534737944602966,1.3267180919647217,2.970705032348633,33
Zeelim_12.04.21_1118_1,shade,-0.3716179430484772,2.0872764587402344,7.012694358825684,33
Zeelim_12.04.21_1118_1,open,-0.21518220007419586,1.3259140253067017,2.9664323329925537,33
Zeelim_12.04.21_1118_2,all,0.39145585894584656,1.2813029289245605,2.809915065765381,33
Zeelim_12.04.21_1118_2,shade,-0.1439884752035141,2.166468381881714,6.074896335601807,33
Zeelim_12.04.21_1118_2,open,0.391485333442688,1.2812544107437134,2.8097352981567383,33
Zeelim_12.04.21_1118_3,all,0.1282014101743698,1.3444606065750122,3.0023958683013916,33
Zeelim_12.04.21_1118_3,shade,2.25002121925354,2.8150269985198975,11.653816223144531,33
Zeelim_12.04.21_1118_3,open,0.12818844616413116,1.344451665878296,3.002342939376831,33
Zeelim_12.04.21_1118_4,all,0.28698307275772095,1.379379153251648,3.313974618911743,33
Zeelim_12.04.21_1118_4,shade,-0.5037094950675964,2.0781984329223633,5.990901470184326,33
Zeelim_12.04.21_1118_4,open,0.28714898228645325,1.379232406616211,3.313413143157959,33
Zeelim_12.04.21_1118_5,all,0.035709019750356674,1.4351664781570435,3.4664313793182373,33
Zeelim_12.04.21_1118_5,shade,-2.042595148086548,2.4597065448760986,9.04215145111084,33
Zeelim_12.04.21_1118_5,open,0.036382198333740234,1.4348347187042236,3.464625597000122,33
Zeelim_31.05.21_1516_1,all,-0.7754012942314148,1.425711750984192,3.053567409515381,33
Zeelim_31.05.21_1516_1,shade,-0.7540512084960938,1.731503963470459,4.347982883453369,33
Zeelim_31.05.21_1516_1,open,-0.7754495739936829,1.4250199794769287,3.0506391525268555,33
Zeelim_31.05.21_1516_2,all,-0.7072315812110901,1.2622195482254028,2.716747760772705,33
Zeelim_31.05.21_1516_2,shade,-0.6705755591392517,1.7917242050170898,4.53409481048584,33
Zeelim_31.05.21_1516_2,open,-0.7073104977607727,1.26107919216156,2.7128326892852783,33
Zeelim_31.05.21_1516_3,all,-0.6078359484672546,1.420924186706543,3.3380239009857178,33
Zeelim_31.05.21_1516_3,shade,0.42845073342323303,1.808066487312317,4.8788533210754395,33
Zeelim_31.05.21_1516_3,open,-0.6096274852752686,1.4202548265457153,3.335359573364258,33
Zeelim_31.05.21_1516_4,all,-0.7475417256355286,1.1512764692306519,2.2654807567596436,33
Zeelim_31.05.21_1516_4,shade,-0.6653826236724854,1.7571494579315186,4.559741973876953,33
Zeelim_31.05.21_1516_4,open,-0.7476520538330078,1.1504634618759155,2.262402296066284,33
Zeelim_31.05.21_1516_5,all,-0.8208900094032288,1.4187957048416138,3.3053979873657227,33
Zeelim_31.05.21_1516_5,shade,-0.4755229949951172,1.8894315958023071,5.408019542694092,33
Zeelim_31.05.21_1516_5,open,-0.8215559720993042,1.4178880453109741,3.3013439178466797,33
Zeelim_31.05.21_1712_1,all,-0.3183951675891876,0.7190231084823608,0.7937481999397278,33
Zeelim_31.05.21_1712_1,shade,-0.516364574432373,0.9484835267066956,1.390703558921814,33
Zeelim_31.05.21_1712_1,open,-0.30599620938301086,0.7046518921852112,0.7563605904579163,33
Zeelim_31.05.21_1712_2,all,0.16150672733783722,0.8022602200508118,0.9902556538581848,33
Zeelim_31.05.21_1712_2,shade,-0.06316639482975006,0.7606809139251709,0.9487640857696533,33
Zeelim_31.05.21_1712_2,open,0.16701538860797882,0.80327969789505,0.9912728667259216,33
