flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,1.896064281463623,1.9755247831344604,5.597306251525879,31
Zeelim_23.9.19_0610_1,shade,1.332513689994812,1.611448049545288,3.9903831481933594,31
Zeelim_23.9.19_0610_1,open,1.9376556873321533,2.002394437789917,5.715900421142578,31
Zeelim_23.9.19_0610_2,all,1.908207893371582,1.983022928237915,5.892810821533203,31
Zeelim_23.9.19_0610_2,shade,2.6981804370880127,2.844526767730713,11.041525840759277,31
Zeelim_23.9.19_0610_2,open,1.7320148944854736,1.790875792503357,4.744457721710205,31
Zeelim_23.9.19_0610_3,all,1.9470784664154053,2.0459659099578857,6.191688537597656,31
Zeelim_23.9.19_0610_3,shade,1.13489830493927,1.3992997407913208,3.606935501098633,31
Zeelim_23.9.19_0610_3,open,1.9722347259521484,2.065995454788208,6.271748065948486,31
Zeelim_23.9.19_0610_4,all,2.086646795272827,2.1835405826568604,7.080018997192383,31
Zeelim_23.9.19_0610_4,shade,2.4273200035095215,2.54289174079895,9.286543846130371,31
Zeelim_23.9.19_0610_4,open,1.8669041395187378,1.9517502784729004,5.65675687789917,31
Zeelim_23.9.19_0610_5,all,2.0908350944519043,2.1564128398895264,7.084287166595459,31
Zeelim_23.9.19_0610_5,shade,2.7337708473205566,2.772183656692505,9.962545394897461,31
Zeelim_23.9.19_0610_5,open,0.9813206791877747,1.093778133392334,2.117281198501587,31
Zeelim_23.9.19_0700_1,all,0.9969306588172913,1.391235589981079,3.5152676105499268,31
Zeelim_23.9.19_0700_1,shade,1.6040008068084717,1.7646561861038208,5.18500280380249,31
Zeelim_23.9.19_0700_1,open,0.19593922793865204,0.8985300660133362,1.3121541738510132,31
Zeelim_23.9.19_0700_2,all,1.3291637897491455,1.4906425476074219,3.256885051727295,31
Zeelim_23.9.19_0700_2,shade,0.08836643397808075,1.07633376121521,1.8444697856903076,31
Zeelim_23.9.19_0700_2,open,1.335581660270691,1.4927854537963867,3.264190673828125,31
Zeelim_23.9.19_0700_3,all,1.2295547723770142,1.5523312091827393,4.075336456298828,31
Zeelim_23.9.19_0700_3,shade,1.791795015335083,1.9731138944625854,5.9213480949401855,31
Zeelim_23.9.19_0700_3,open,0.9430805444717407,1.337932825088501,3.134751319885254,31
Zeelim_23.9.19_0700_4,all,1.3862040042877197,1.4889204502105713,3.081974744796753,31
Zeelim_23.9.19_0700_4,shade,1.0258426666259766,1.2371890544891357,1.9851791858673096,31
Zeelim_23.9.19_0700_4,open,1.3932228088378906,1.4938231706619263,3.103336811065674,31
Zeelim_23.9.19_0700_5,all,1.3025585412979126,1.429125428199768,2.980520725250244,31
Zeelim_23.9.19_0700_5,shade,0.5639839768409729,1.0196021795272827,1.589577078819275,31
Zeelim_23.9.19_0700_5,open,1.3192070722579956,1.438356876373291,3.0118744373321533,31
Zeelim_23.9.19_0800_1,all,0.13410495221614838,1.030664324760437,1.796594500541687,31
Zeelim_23.9.19_0800_1,shade,1.902598261833191,3.0630528926849365,10.692002296447754,31
Zeelim_23.9.19_0800_1,open,0.1217334046959877,1.016446590423584,1.7343664169311523,31
Zeelim_23.9.19_0800_2,all,0.21776501834392548,1.1549997329711914,2.2663185596466064,31
Zeelim_23.9.19_0800_2,shade,0.25633037090301514,1.7864370346069336,4.739449501037598,31
Zeelim_23.9.19_0800_2,open,0.21592172980308533,1.124819040298462,2.148111343383789,31
Zeelim_23.9.19_0800_3,all,0.26969194412231445,1.061844825744629,1.903455376625061,31
Zeelim_23.9.19_0800_3,shade,-0.611753523349762,1.670142412185669,4.412890911102295,31
Zeelim_23.9.19_0800_3,open,0.2786889374256134,1.0556358098983765,1.8778413534164429,31
Zeelim_23.9.19_0800_4,all,-0.33031153678894043,1.1821644306182861,2.10693097114563,31
Zeelim_23.9.19_0800_4,shade,0.6363328099250793,1.6527397632598877,3.6649694442749023,31
Zeelim_23.9.19_0800_4,open,-0.5490450263023376,1.0756820440292358,1.7543762922286987,31
Zeelim_23.9.19_0800_5,all,-0.16978797316551208,1.199053406715393,2.3634226322174072,31
Zeelim_23.9.19_0800_5,shade,0.5535297989845276,1.7216527462005615,4.239814281463623,31
Zeelim_23.9.19_0800_5,open,-0.3607439398765564,1.0610870122909546,1.8680551052093506,31
Zeelim_23.9.19_0950_1,all,-1.5920846462249756,1.8311830759048462,4.908960342407227,31
Zeelim_23.9.19_0950_1,shade,0.9784601926803589,2.851424217224121,11.246342658996582,31
Zeelim_23.9.19_0950_1,open,-1.6203166246414185,1.819977879524231,4.839357376098633,31
Zeelim_23.9.19_0950_2,all,-1.5800659656524658,2.0595200061798096,6.639616012573242,31
Zeelim_23.9.19_0950_2,shade,0.5026251077651978,2.731755018234253,10.792163848876953,31
Zeelim_23.9.19_0950_2,open,-1.63021981716156,2.0433318614959717,6.539617538452148,31
Zeelim_23.9.19_0950_3,all,-1.6054762601852417,1.8096015453338623,4.995543956756592,31
Zeelim_23.9.19_0950_3,shade,-1.4418104887008667,2.1748220920562744,6.708924770355225,31
Zeelim_23.9.19_0950_3,open,-1.6054840087890625,1.8095840215682983,4.995462417602539,31
Zeelim_23.9.19_0950_4,all,-1.5974922180175781,1.8544633388519287,5.18022346496582,31
Zeelim_23.9.19_0950_4,shade,0.05047035589814186,2.246419668197632,7.821347236633301,31
Zeelim_23.9.19_0950_4,open,-1.60110342502594,1.8536045551300049,5.174435615539551,31
Zeelim_23.9.19_0950_5,all,-1.6689809560775757,1.991755723953247,6.516168594360352,31
Zeelim_23.9.19_0950_5,shade,-0.3934200406074524,1.9646165370941162,5.946795463562012,31
Zeelim_23.9.19_0950_5,open,-1.669153094291687,1.9917593002319336,6.5162458419799805,31
Zeelim_23.9.19_1410_1,all,-0.946701169013977,1.3212429285049438,3.2053043842315674,31
Zeelim_23.9.19_1410_1,shade,0.06836338341236115,1.5873042345046997,3.449235200881958,31
Zeelim_23.9.19_1410_1,open,-0.947516143321991,1.3210293054580688,3.205108642578125,31
Zeelim_23.9.19_1410_2,all,-0.3905008137226105,1.2248588800430298,2.7956738471984863,31
Zeelim_23.9.19_1410_2,shade,1.3280541896820068,2.8039309978485107,11.104718208312988,31
Zeelim_23.9.19_1410_2,open,-0.3988178074359894,1.217216968536377,2.755462408065796,31
Zeelim_23.9.19_1410_3,all,-0.11764877289533615,1.15585458278656,2.2580909729003906,31
Zeelim_23.9.19_1410_3,shade,0.7237496376037598,2.327796459197998,7.9385809898376465,31
Zeelim_23.9.19_1410_3,open,-0.11839010566473007,1.1548218727111816,2.2530863285064697,31
Zeelim_23.9.19_1410_4,all,-0.8493614792823792,1.2190152406692505,2.684882402420044,31
Zeelim_23.9.19_1410_4,shade,-0.3753215968608856,1.182511806488037,2.4875869750976562,31
Zeelim_23.9.19_1410_4,open,-0.8495765328407288,1.2190316915512085,2.684972047805786,31
Zeelim_23.9.19_1410_5,all,-0.9441570043563843,1.9227677583694458,5.847814559936523,31
Zeelim_23.9.19_1410_5,shade,3.2706658840179443,3.6954898834228516,18.629377365112305,31
Zeelim_23.9.19_1410_5,open,-1.2768865823745728,1.7828242778778076,4.838802337646484,31
Zeelim_23.9.19_1510_1,all,-0.10754989087581635,1.1281042098999023,2.2484993934631348,31
Zeelim_23.9.19_1510_1,shade,0.2935389578342438,1.703760027885437,4.220853328704834,31
Zeelim_23.9.19_1510_1,open,-0.11418642848730087,1.1185790300369263,2.2158641815185547,31
Zeelim_23.9.19_1510_2,all,-0.03662008047103882,1.0104507207870483,1.6885302066802979,31
Zeelim_23.9.19_1510_2,shade,0.16169880330562592,1.5220119953155518,3.3711256980895996,31
Zeelim_23.9.19_1510_2,open,-0.03715810179710388,1.0090627670288086,1.6839652061462402,31
Zeelim_23.9.19_1510_3,all,0.03818410634994507,1.4601705074310303,3.5054638385772705,31
Zeelim_23.9.19_1510_3,shade,1.8685147762298584,2.466085433959961,8.678590774536133,31
Zeelim_23.9.19_1510_3,open,-0.19998814165592194,1.3292754888534546,2.8323090076446533,31
Zeelim_23.9.19_1510_4,all,0.14167520403862,1.3351010084152222,2.769226312637329,31
Zeelim_23.9.19_1510_4,shade,0.053046178072690964,2.590052604675293,9.006019592285156,31
Zeelim_23.9.19_1510_4,open,0.14243856072425842,1.324292540550232,2.715510845184326,31
Zeelim_23.9.19_1510_5,all,-0.19552533328533173,1.1040691137313843,2.0965538024902344,31
Zeelim_23.9.19_1510_5,shade,-0.8519505858421326,1.5173126459121704,3.5034258365631104,31
Zeelim_23.9.19_1510_5,open,-0.1934102326631546,1.102737545967102,2.0920207500457764,31
Zeelim_23.9.19_1610_1,all,1.1091344356536865,1.4345324039459229,3.0972096920013428,31
Zeelim_23.9.19_1610_1,shade,0.9044188857078552,1.3880881071090698,3.1976327896118164,31
