flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,3.054083824157715,3.0813543796539307,12.68673324584961,9
Zeelim_23.9.19_0610_1,shade,2.094214916229248,2.231478691101074,7.8629469871521,9
Zeelim_23.9.19_0610_1,open,3.1319167613983154,3.150268316268921,13.077879905700684,9
Zeelim_23.9.19_0610_2,all,2.872570514678955,2.9017672538757324,11.643115997314453,9
Zeelim_23.9.19_0610_2,shade,2.831700086593628,2.8881490230560303,11.307978630065918,9
Zeelim_23.9.19_0610_2,open,2.881976366043091,2.9049017429351807,11.720240592956543,9
Zeelim_23.9.19_0610_3,all,3.19100022315979,3.2127718925476074,13.435161590576172,9
Zeelim_23.9.19_0610_3,shade,2.332775831222534,2.404515266418457,8.475120544433594,9
Zeelim_23.9.19_0610_3,open,3.218282699584961,3.2384657859802246,13.592836380004883,9
Zeelim_23.9.19_0610_4,all,3.0498135089874268,3.0796689987182617,13.223358154296875,9
Zeelim_23.9.19_0610_4,shade,3.1346964836120605,3.167167901992798,13.236468315124512,9
Zeelim_23.9.19_0610_4,open,2.9953339099884033,3.023510694503784,13.214942932128906,9
Zeelim_23.9.19_0610_5,all,2.8741774559020996,2.9090960025787354,11.72415542602539,9
Zeelim_23.9.19_0610_5,shade,3.232527732849121,3.251549243927002,13.656618118286133,9
Zeelim_23.9.19_0610_5,open,2.263617753982544,2.3256208896636963,8.431604385375977,9
Zeelim_23.9.19_0700_1,all,1.0125576257705688,1.7464146614074707,5.175703048706055,9
Zeelim_23.9.19_0700_1,shade,1.5205174684524536,2.1171960830688477,7.277968406677246,9
Zeelim_23.9.19_0700_1,open,0.37049296498298645,1.2777440547943115,2.5184247493743896,9
Zeelim_23.9.19_0700_2,all,1.615946888923645,1.9316970109939575,5.554774284362793,9
Zeelim_23.9.19_0700_2,shade,0.6177429556846619,1.6111609935760498,3.7044999599456787,9
Zeelim_23.9.19_0700_2,open,1.6210850477218628,1.9333469867706299,5.564298629760742,9
Zeelim_23.9.19_0700_3,all,1.4997076988220215,1.9575291872024536,6.052243232727051,9
Zeelim_23.9.19_0700_3,shade,1.670843482017517,2.2914838790893555,8.315786361694336,9
Zeelim_23.9.19_0700_3,open,1.4145722389221191,1.7913951873779297,4.926188945770264,9
Zeelim_23.9.19_0700_4,all,1.6604247093200684,1.9197183847427368,5.329798698425293,9
Zeelim_23.9.19_0700_4,shade,1.925642967224121,2.201097011566162,6.428951740264893,9
Zeelim_23.9.19_0700_4,open,1.6544331312179565,1.9133617877960205,5.304967880249023,9
Zeelim_23.9.19_0700_5,all,1.6999852657318115,1.9414384365081787,5.528661251068115,9
Zeelim_23.9.19_0700_5,shade,0.8006479144096375,1.5049782991409302,3.313830852508545,9
Zeelim_23.9.19_0700_5,open,1.7210508584976196,1.9516617059707642,5.580540180206299,9
Zeelim_23.9.19_0800_1,all,0.03279977664351463,1.0949444770812988,1.8978489637374878,9
Zeelim_23.9.19_0800_1,shade,1.9545570611953735,2.4155704975128174,8.52349853515625,9
Zeelim_23.9.19_0800_1,open,0.013647368177771568,1.0817829370498657,1.8318170309066772,9
Zeelim_23.9.19_0800_2,all,0.04226091504096985,1.2033789157867432,2.4301042556762695,9
Zeelim_23.9.19_0800_2,shade,0.4077465832233429,1.7390127182006836,4.569250106811523,9
Zeelim_23.9.19_0800_2,open,0.024825837463140488,1.1778271198272705,2.328058958053589,9
Zeelim_23.9.19_0800_3,all,0.18888437747955322,1.1483879089355469,2.098241090774536,9
Zeelim_23.9.19_0800_3,shade,0.025116508826613426,1.9827417135238647,5.3272480964660645,9
Zeelim_23.9.19_0800_3,open,0.19051943719387054,1.1400578022003174,2.0660033226013184,9
Zeelim_23.9.19_0800_4,all,-0.6565252542495728,1.1992181539535522,2.2642977237701416,9
Zeelim_23.9.19_0800_4,shade,-0.037822771817445755,1.2539650201797485,2.654038429260254,9
Zeelim_23.9.19_0800_4,open,-0.7951524257659912,1.1869516372680664,2.176971912384033,9
Zeelim_23.9.19_0800_5,all,-0.3149677813053131,1.1754741668701172,2.378995418548584,9
Zeelim_23.9.19_0800_5,shade,-0.03587428852915764,1.3920576572418213,3.3017187118530273,9
Zeelim_23.9.19_0800_5,open,-0.3865237832069397,1.1199449300765991,2.142421007156372,9
Zeelim_23.9.19_0950_1,all,-2.2617664337158203,2.5811071395874023,9.743427276611328,9
Zeelim_23.9.19_0950_1,shade,-1.356313943862915,3.316103458404541,15.913743019104004,9
Zeelim_23.9.19_0950_1,open,-2.272217035293579,2.5726237297058105,9.672209739685059,9
Zeelim_23.9.19_0950_2,all,-2.5353989601135254,2.9286553859710693,12.887384414672852,9
Zeelim_23.9.19_0950_2,shade,-1.9995620250701904,3.439406394958496,17.3525390625,9
Zeelim_23.9.19_0950_2,open,-2.548438787460327,2.9162259101867676,12.778724670410156,9
